# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8158
#@/user_id	3dec6ac1-e48f-48db-b571-d010f4307a57
a 	啊	c=78 d=10.1101 t=8158
wen jian ming 	文件名	c=1 d=0.980199 t=8158
wen jian xi tong 	文件系统	c=1 d=0.615697 t=8158
wen jing zhi zhi 	文景之治	c=2 d=1.92075e-07 t=8158
wen le 	稳了	c=1 d=0.985112 t=8158
wen ti 	问题	c=27 d=2.5761 t=8158
wen xue jia 	文学家	c=1 d=1.08123e-07 t=8158
wen zhong 	文种	c=1 d=9.56648e-09 t=8158
wen zi 	文字	c=1 d=1.24671e-06 t=8158
wo 	我	c=104 d=11.9782 t=8158
wo ai ni 	我爱你	c=1 d=4.42023e-14 t=8158
wo bu 	我不	c=0 d=6.46143e-11 t=8158
wo bu hui 	我不会	c=0 d=5.42409e-11 t=8158
wo bu hui shi xian 	我不会实现	c=1 d=5.45128e-10 t=8158
wo bu li jie 	我不理解	c=1 d=6.49382e-10 t=8158
wo cai ce 	我猜测	c=1 d=0.960789 t=8158
wo cao 	卧槽	c=1 d=8.48471e-09 t=8158
wo de 	我的	c=5 d=0.00362464 t=8158
wo dong 	我懂	c=1 d=1.0057e-08 t=8158
wo fa xian 	我发现	c=1 d=7.21398e-12 t=8158
wo gan guo 	我干过	c=1 d=1.43109e-11 t=8158
wo gan jue 	我感觉	c=1 d=4.82483e-15 t=8158
wo gang 	我刚	c=1 d=4.11005e-11 t=8158
wo huan 	我换	c=1 d=2.58035e-05 t=8158
wo jiu 	我就	c=1 d=0.000340532 t=8158
wo jiu shi 	我就是	c=1 d=0.0858632 t=8158
wo kan 	我看	c=2 d=5.6019e-07 t=8158
wo kan kan 	我看看	c=1 d=2.40795e-15 t=8158
wo ke neng 	我可能	c=2 d=1.87372e-05 t=8158
wo ke yi 	我可以	c=1 d=9.24217e-15 t=8158
wo lia 	我俩	c=1 d=1.54255e-11 t=8158
wo long feng chu 	卧龙凤雏	c=1 d=4.10935e-09 t=8158
wo men 	我们	c=5 d=0.07199 t=8158
wo ne 	我呢	c=1 d=1.003e-07 t=8158
wo qu 	我去	c=2 d=1.90041e-11 t=8158
wo shi 	我是	c=2 d=0.000992781 t=8158
wo shi shi 	我试试	c=1 d=1.37544e-15 t=8158
wo wei yu rou 	我为鱼肉	c=1 d=6.36415e-08 t=8158
wo xiang 	我想	c=4 d=1.34788e-07 t=8158
wo xie xie ni 	我谢谢你	c=1 d=7.81215e-08 t=8158
wo xin 	我信	c=0 d=7.43115e-09 t=8158
wo xin ni da ye 	我信你大爷	c=1 d=7.4684e-08 t=8158
wo ye 	我也	c=4 d=0.0408966 t=8158
wo ye xiang 	我也想	c=1 d=4.06985e-13 t=8158
wo yong 	我用	c=1 d=0.83527 t=8158
wo zai 	我在	c=1 d=0.00588705 t=8158
wo zhao 	我找	c=1 d=5.67375e-10 t=8158
wo zhao dao 	我找到	c=2 d=0.00144449 t=8158
wo zhe bian 	我这边	c=5 d=0.139462 t=8158
wo zhe ge 	我这个	c=1 d=2.06221e-15 t=8158
wo zhe li 	我这里	c=1 d=6.22097e-05 t=8158
wo zheng zai 	我正在	c=1 d=4.59984e-12 t=8158
wo zhi zhi dao 	我只知道	c=1 d=0.985112 t=8158
wo zhun bei 	我准备	c=1 d=3.31549e-13 t=8158
wu 	呜	c=1 d=0.000175127 t=8158
wu 	唔	c=1 d=1 t=8158
wu 	戊	c=0 d=2.65297e-09 t=8158
wu 	无	c=4 d=6.50398e-09 t=8158
wu 	鹜	c=1 d=0.970446 t=8158
wu bi 	五笔	c=1 d=0.000171659 t=8158
wu chan jie ji 	无产阶级	c=1 d=2.27243e-10 t=8158
wu chu 	无处	c=1 d=1.01318e-07 t=8158
wu da wu zhuang 	误打误撞	c=1 d=2.08258e-13 t=8158
wu dai shi guo 	五代十国	c=1 d=1.71274e-07 t=8158
wu fa 	无法	c=2 d=0.000339862 t=8158
wu fa shang chuan 	无法上传	c=1 d=2.01965e-05 t=8158
wu jia 	无价	c=1 d=1.40614e-10 t=8158
wu jiao xing 	五角星	c=1 d=1.11704e-08 t=8158
wu jun 	五军	c=0 d=3.26558e-12 t=8158
wu jun le 	五军了	c=1 d=3.28194e-11 t=8158
wu le 	悟了	c=2 d=6.82575e-09 t=8158
wu li bu qi zao 	无利不起早	c=1 d=2.44942e-10 t=8158
wu liang 	无良	c=1 d=0.00311976 t=8158
wu nao 	无脑	c=1 d=2.26579e-05 t=8158
wu nong 	务农	c=1 d=4.22573e-14 t=8158
wu pin 	物品	c=1 d=7.37625e-09 t=8158
wu ran 	污染	c=2 d=0.00932553 t=8158
wu suo fang 	无缩放	c=1 d=4.94698e-15 t=8158
wu yi yu 	无异于	c=1 d=4.2025e-08 t=8158
wu ze tian 	武则天	c=1 d=1.54202e-07 t=8158
wu zi 	屋子	c=1 d=4.18226e-10 t=8158
xi da da 	习大大	c=1 d=9.66263e-09 t=8158
xi guan le 	习惯了	c=2 d=5.90353e-15 t=8158
xi hong shi 	西红柿	c=2 d=1.15231e-13 t=8158
xi huan 	喜欢	c=1 d=3.63588e-10 t=8158
xi lian 	洗脸	c=1 d=0.985112 t=8158
xi meng 	西蒙	c=4 d=9.30923e-09 t=8158
xi mu li xin 	徙木立信	c=1 d=4.11929e-08 t=8158
xi ni 	细腻	c=1 d=2.92641e-15 t=8158
xi shi 	西施	c=1 d=1.29446e-07 t=8158
xi tong 	系统	c=11 d=1.04247 t=8158
xi tou 	洗头	c=1 d=0.99005 t=8158
xi yang xi xia 	夕阳西下	c=1 d=1.2625e-07 t=8158
xi yu 	西域	c=2 d=2.48632e-07 t=8158
xi yu du hu fu 	西域都户府	c=1 d=8.67704e-08 t=8158
xi zang 	西藏	c=1 d=0.0109436 t=8158
xia 	下	c=16 d=1.3528 t=8158
xia 	夏	c=0 d=2.49848e-09 t=8158
xia kong 	下空	c=1 d=1.5154e-08 t=8158
xia li 	夏历	c=1 d=2.49848e-08 t=8158
xia mian 	下面	c=1 d=5.71501e-07 t=8158
xia tian 	夏天	c=1 d=0.0223708 t=8158
xia xiao zheng 	夏小正	c=1 d=2.511e-08 t=8158
xia yi 	下移	c=1 d=3.38189e-11 t=8158
xia zai 	下载	c=17 d=4.86292 t=8158
xian 	先	c=3 d=7.82869e-06 t=8158
xian cheng 	线程	c=2 d=1 t=8158
xian cheng de 	现成的	c=1 d=1.08983e-12 t=8158
xian dai 	现代	c=2 d=2.07628e-08 t=8158
xian dao 	先到	c=1 d=5.37104e-12 t=8158
xian jin 	先进	c=1 d=2.07113e-07 t=8158
xian ka 	显卡	c=5 d=4.55108e-05 t=8158
xian shi 	显示	c=8 d=1.88702 t=8158
xian shi qi 	显示器	c=2 d=1.65176e-14 t=8158
xian su 	限速	c=1 d=5.0933e-05 t=8158
xian xiang 	现象	c=4 d=0.000863928 t=8158
xian zai 	现在	c=53 d=2.84358 t=8158
xiang 	像	c=2 d=2.32355e-07 t=8158
xiang 	想	c=2 d=0.0365875 t=8158
xiang dang 	相当	c=2 d=0.0706512 t=8158
xiang dui 	相对	c=1 d=3.70038e-11 t=8158
xiang fa 	想法	c=2 d=9.58486e-13 t=8158
xiang gang 	香港	c=2 d=1.9458 t=8158
xiang huo 	香火	c=1 d=2.37703e-10 t=8158
xiang mu 	项目	c=2 d=0.00530026 t=8158
xiang nian 	想念	c=0 d=3.86005e-09 t=8158
xiang qi 	想起	c=1 d=0.00571306 t=8158
xiang shi 	像是	c=3 d=1.02707 t=8158
xiang xi 	详细	c=5 d=0.975749 t=8158
xiang xi yi dian 	详细一点	c=4 d=1.72173e-06 t=8158
xiang xiang yi xia 	想象一下	c=1 d=0.980199 t=8158
xiang xing 	象形	c=1 d=3.02128e-08 t=8158
xiang yong 	想用	c=1 d=7.62316e-14 t=8158
xiang yu 	项羽	c=1 d=6.17606e-08 t=8158
xiao 	小	c=6 d=1.72586 t=8158
xiao cao 	小草	c=1 d=4.86918e-05 t=8158
xiao chong zi 	小虫子	c=1 d=4.94613e-13 t=8158
xiao gai 	小改	c=0 d=4.82319e-12 t=8158
xiao gai da 	小改大	c=1 d=4.84737e-11 t=8158
xiao gai lv 	小概率	c=1 d=1.09775e-09 t=8158
xiao guo 	效果	c=2 d=7.01484e-10 t=8158
xiao he 	萧何	c=1 d=6.46033e-08 t=8158
xiao hua 	消化	c=1 d=4.34392e-15 t=8158
xiao le 	小了	c=1 d=2.75364e-05 t=8158
xiao le 	笑了	c=1 d=6.57718e-13 t=8158
xiao li 	效力	c=1 d=1.56938e-08 t=8158
xiao ma ge 	小马哥	c=1 d=0.88692 t=8158
xiao mi 	小米	c=4 d=0.995012 t=8158
xiao qiao 	小巧	c=1 d=2.25449e-05 t=8158
xiao qiao liu shui ren jia 	小桥流水人家	c=1 d=1.24994e-07 t=8158
xiao sheng 	小声	c=1 d=6.28777e-13 t=8158
xiao shi 	小时	c=1 d=2.76077e-06 t=8158
xiao shi hou 	小时候	c=1 d=0.000165755 t=8158
xiao shu 	小数	c=1 d=1 t=8158
xiao shuo 	小说	c=1 d=0.0587185 t=8158
xiao xi 	消息	c=1 d=9.88671e-14 t=8158
xiao xi dui lie 	消息队列	c=1 d=1 t=8158
xiao xiao 	小小	c=1 d=2.31275e-11 t=8158
xiao xue 	小学	c=4 d=0.00963841 t=8158
xiao yao 	逍遥	c=1 d=0.000219315 t=8158
xiao ying 	效应	c=11 d=6.35835e-08 t=8158
xiao yong 	效用	c=1 d=1.26272e-09 t=8158
xiao zheng 	小正	c=0 d=2.49848e-09 t=8158
xiao zhuan 	小篆	c=1 d=3.05299e-08 t=8158
xie 	些	c=1 d=4.29704e-05 t=8158
xie 	写	c=21 d=2.936 t=8158
xie diao 	卸掉	c=1 d=2.35987e-13 t=8158
xie ge 	写个	c=5 d=0.997201 t=8158
xie lu 	斜路	c=0 d=0.0980199 t=8158
xie qi lai 	写起来	c=1 d=0.715338 t=8158
xie shang 	协商	c=0 d=1.15643e-05 t=8158
xie shen me 	些什么	c=1 d=0.995012 t=8158
xie si 	写死	c=2 d=1.33502 t=8158
xie tiao 	协调	c=4 d=8.81149e-09 t=8158
xie xie 	谢谢	c=2 d=5.14454e-05 t=8158
xie xie ni 	谢谢你	c=1 d=8.9083e-08 t=8158
xie xing 	楔形	c=1 d=3.03642e-08 t=8158
xie yi 	协议	c=3 d=1.00823 t=8158
xie zuo shui ping 	写作水平	c=1 d=0.0222592 t=8158
xin 	心	c=1 d=1.76155e-14 t=8158
xin 	新	c=2 d=0.740833 t=8158
xin ban 	新版	c=1 d=6.16116e-09 t=8158
xin chun 	新春	c=1 d=7.60478e-15 t=8158
xin de 	新的	c=3 d=2.36039e-05 t=8158
xin li 	心理	c=2 d=0.00412784 t=8158
xin ling jun 	信陵君	c=1 d=4.39594e-08 t=8158
xin lv 	心率	c=1 d=0.810584 t=8158
xin nian 	新年	c=2 d=2.15859e-14 t=8158
xin shou ji 	新手机	c=1 d=0.085435 t=8158
xin xi 	信息	c=6 d=1.00067 t=8158
xing 	型	c=2 d=7.76264e-09 t=8158
xing 	性	c=1 d=0.290835 t=8158
xing 	行	c=3 d=0.941765 t=8158
xing ce 	行测	c=1 d=1 t=8158
xing cheng 	形成	c=1 d=2.47362e-08 t=8158
xing er shang xue 	形而上学	c=1 d=7.75312e-07 t=8158
xing hao 	型号	c=0 d=0.0980199 t=8158
xing huang 	姓黄	c=1 d=1.42347e-07 t=8158
xing le 	行了	c=1 d=0.70822 t=8158
xing shu 	行书	c=1 d=2.8596e-08 t=8158
xing wen 	行文	c=2 d=2.59505e-08 t=8158
xing zheng 	行政	c=0 d=3.37259e-09 t=8158
xing zheng shi wu 	行政事务	c=0 d=7.83238e-10 t=8158
xing zheng shou duan 	行政手段	c=1 d=1.04422e-09 t=8158
xing zhi 	性质	c=1 d=1.58133e-09 t=8158
xing zi 	杏子	c=1 d=0.0195457 t=8158
xiong di 	兄弟	c=1 d=0.786628 t=8158
xiong di men 	兄弟们	c=5 d=1.70148 t=8158
xiu 	修	c=1 d=7.0177e-11 t=8158
xiu 	秀	c=1 d=1.18325e-09 t=8158
xiu fu 	修复	c=5 d=1.95069 t=8158
xiu gai 	修改	c=11 d=0.886991 t=8158
xiu hua 	羞花	c=1 d=1.27519e-07 t=8158
xiu le 	秀了	c=1 d=1.20113e-09 t=8158
xiu yi xiu 	修一修	c=1 d=1.59364e-12 t=8158
xu 	虚	c=1 d=4.59906e-10 t=8158
xu 	需	c=0 d=4.55329e-11 t=8158
xu fei 	续费	c=1 d=0.0131675 t=8158
xu hang 	续航	c=1 d=7.6812e-15 t=8158
xu liang 	徐良	c=1 d=9.46969e-07 t=8158
xu lie 	序列	c=1 d=5.23843e-12 t=8158
xu ni ji 	虚拟机	c=1 d=0.000746586 t=8158
xu qiu 	需求	c=5 d=1.68214 t=8158
xu yao 	需要	c=14 d=2.14371 t=8158
xu ying zi 	需影子	c=1 d=4.57612e-10 t=8158
xu zhou 	徐州	c=1 d=8.35697e-07 t=8158
xuan 	悬	c=1 d=1 t=8158
xuan 	选	c=4 d=0.431715 t=8158
xuan bu tong 	选不同	c=1 d=7.85265e-10 t=8158
xuan chu lai 	选出来	c=1 d=0.000149981 t=8158
xuan ci 	选词	c=1 d=7.12497e-13 t=8158
xuan diao 	选调	c=1 d=1.13941e-06 t=8158
xuan ge 	选个	c=1 d=1.06018e-11 t=8158
xuan hu ji shi 	悬壶济世	c=1 d=4.76206e-08 t=8158
xuan le 	选了	c=1 d=3.06642e-06 t=8158
xuan ran 	渲染	c=2 d=1.25343e-10 t=8158
xuan xiang 	选项	c=0 d=9.10197e-10 t=8158
xuan yi 	旋翼	c=0 d=8.14925e-06 t=8158
xuan yuan 	轩辕	c=1 d=1.99507e-08 t=8158
xuan yuan shi 	轩辕氏	c=1 d=2.10788e-08 t=8158
xuan zhong 	选中	c=2 d=0.433874 t=8158
xuan zui chang 	选最长	c=1 d=1.08141e-09 t=8158
xue 	学	c=2 d=0.716782 t=8158
xue bu xia qu 	学不下去	c=1 d=8.82948e-07 t=8158
xue dao 	学到	c=1 d=0.909373 t=8158
xue fan 	削藩	c=0 d=7.21153e-09 t=8158
xue fan ce 	削藩策	c=1 d=7.24768e-08 t=8158
xue sheng 	学生	c=3 d=1.13095e-13 t=8158
xue shi 	学士	c=1 d=3.88138e-14 t=8158
xue shi 	学时	c=1 d=0.822835 t=8158
xue shuo 	学说	c=1 d=1.59722e-09 t=8158
xue xi 	学习	c=2 d=1 t=8158
xue xiao 	学校	c=1 d=0.00231117 t=8158
xue ya 	血压	c=2 d=1.63748 t=8158
xue yuan 	学院	c=5 d=1 t=8158
xun huan 	循环	c=3 d=1 t=8158
ya 	压	c=0 d=1.60911e-09 t=8158
ya po 	压迫	c=1 d=0.0219278 t=8158
yan 	烟	c=1 d=1.86952e-08 t=8158
yan 	眼	c=1 d=5.22668e-15 t=8158
yan bian 	演变	c=1 d=1.25296e-06 t=8158
yan chi 	延迟	c=1 d=0.00273944 t=8158
yan hua 	眼花	c=1 d=8.58924e-06 t=8158
yan huang 	炎黄	c=1 d=2.13973e-08 t=8158
yan jing 	眼睛	c=3 d=0.985112 t=8158
yan li ben 	阎立本	c=1 d=1.49645e-07 t=8158
yan se 	颜色	c=3 d=2.88709e-14 t=8158
yan shen 	眼神	c=2 d=2.19883e-05 t=8158
yan wen zi 	颜文字	c=1 d=1.65496e-15 t=8158
yan yuan 	演员	c=1 d=1.48206e-11 t=8158
yan zhou 	兖州	c=1 d=8.52579e-07 t=8158
yang 	养	c=1 d=9.6128e-07 t=8158
yang 	样	c=2 d=0.918512 t=8158
yang 	阳	c=1 d=0.00514361 t=8158
yang can 	养蚕	c=1 d=2.05583e-08 t=8158
yang mou 	阳谋	c=1 d=7.32052e-08 t=8158
yang qun 	羊群	c=2 d=9.50163e-09 t=8158
yang xian 	杨先	c=0 d=4.22573e-15 t=8158
yang xian ying 	杨先英	c=1 d=4.24691e-14 t=8158
yang zhou 	扬州	c=1 d=8.65464e-07 t=8158
yao 	要	c=5 d=0.0150463 t=8158
yao bu 	要不	c=2 d=0.0359725 t=8158
yao me 	要么	c=2 d=0.12346 t=8158
yao qiu 	要求	c=2 d=0.0159229 t=8158
yao shen me 	要什么	c=1 d=0.00101284 t=8158
yao shi 	钥匙	c=1 d=0.00798652 t=8158
ye 	也	c=21 d=2.15973 t=8158
ye 	页	c=1 d=1.24973e-06 t=8158
ye bu jing guo 	也不经过	c=1 d=0.918512 t=8158
ye bu shi 	也不是	c=1 d=8.03339e-13 t=8158
ye dei 	也得	c=1 d=2.88284e-15 t=8158
ye hui 	也会	c=2 d=0.923273 t=8158
ye jiu 	也就	c=2 d=0.1663 t=8158
ye mian 	页面	c=2 d=2.1509e-06 t=8158
ye shi 	也是	c=5 d=1.75616 t=8158
ye xing 	也行	c=1 d=0.00337959 t=8158
ye you 	也有	c=3 d=0.171778 t=8158
ye zhi zhen 	野指针	c=1 d=0.189191 t=8158
yi 	一	c=2 d=3.41629e-11 t=8158
yi 	咦	c=5 d=2.07078e-05 t=8158
yi ban 	一般	c=2 d=1.52694e-09 t=8158
yi bo 	一波	c=0 d=1.01125e-15 t=8158
yi bo san zhe 	一波三折	c=1 d=2.84533e-08 t=8158
yi bu 	一步	c=1 d=0.895834 t=8158
yi bu 	异步	c=2 d=1.9558 t=8158
yi bu yi bu 	一步一步	c=0 d=1.17755e-12 t=8158
yi bu yi bu lai 	一步一步来	c=1 d=1.18345e-11 t=8158
yi chan 	遗产	c=1 d=0.0837432 t=8158
yi chang 	异常	c=6 d=1.60235 t=8158
yi ci 	一次	c=3 d=1.30031 t=8158
yi da chuan 	一大串	c=2 d=1.19787e-06 t=8158
yi da dui 	一大堆	c=1 d=0.0176857 t=8158
yi da kai 	一打开	c=1 d=1.16603e-13 t=8158
yi di 	异地	c=1 d=6.32036e-15 t=8158
yi dian 	一点	c=8 d=0.0122263 t=8158
yi ding 	一定	c=1 d=0.000314351 t=8158
yi dong 	移动	c=9 d=0.00894799 t=8158
yi fan 	一番	c=1 d=0.0325493 t=8158
yi feng 	遗风	c=0 d=1.54202e-08 t=8158
yi ge 	一个	c=26 d=3.10288 t=8158
yi ge yi ge 	一个一个	c=1 d=0.00755912 t=8158
yi gong 	一共	c=1 d=1.40275e-11 t=8158
yi hang 	一行	c=4 d=3.23505e-08 t=8158
yi hou 	以后	c=5 d=0.00669488 t=8158
yi hui 	一会	c=1 d=0.895834 t=8158
yi jin 	一斤	c=1 d=3.76475e-08 t=8158
yi jing 	已经	c=9 d=0.00347502 t=8158
yi jing 	易经	c=1 d=7.94939e-07 t=8158
yi jing xiao you 	以儆效尤	c=1 d=0.000227127 t=8158
yi ke 	一颗	c=1 d=4.84489e-05 t=8158
yi kuai 	一块	c=1 d=0.0878111 t=8158
yi lai 	依赖	c=7 d=0.324708 t=8158
yi ling zhi zhan 	夷陵之战	c=1 d=1.33388e-07 t=8158
yi mo 	一抹	c=0 d=2.29012e-14 t=8158
yi mo yi yang 	一抹一样	c=1 d=2.3016e-13 t=8158
yi nei 	以内	c=0 d=7.04928e-06 t=8158
yi pi 	一批	c=0 d=6.11773e-15 t=8158
yi pian 	一片	c=1 d=4.94277e-05 t=8158
yi qi 	一起	c=1 d=0.00304273 t=8158
yi qian 	以前	c=6 d=0.00835997 t=8158
yi qie 	一切	c=3 d=1.15955e-05 t=8158
yi ran cun zai 	依然存在	c=1 d=2.51664e-05 t=8158
yi ren wei ben 	以人为本	c=2 d=6.04117e-09 t=8158
yi ri bu jian 	一日不见	c=1 d=3.86005e-08 t=8158
yi se 	一色	c=1 d=1 t=8158
yi shan 	一闪	c=2 d=0.000762162 t=8158
yi shan chu 	一删除	c=1 d=9.88839e-16 t=8158
yi she 	一射	c=1 d=3.72729e-08 t=8158
yi shi 	意识	c=4 d=0.068892 t=8158
yi shou jiao qian 	一手交钱	c=1 d=2.10823e-10 t=8158
yi si 	已死	c=0 d=1.14809e-08 t=8158
yi si 	意思	c=3 d=0.209633 t=8158
yi tao 	一套	c=1 d=2.29012e-13 t=8158
yi tiao 	一条	c=1 d=1.21049e-12 t=8158
yi tiao long 	一条龙	c=1 d=1.9999e-07 t=8158
yi wai 	以外	c=1 d=7.15582e-05 t=8158
yi wei 	以为	c=1 d=0.000876127 t=8158
yi wu suo you 	一无所有	c=1 d=2.29527e-10 t=8158
yi xia 	一下	c=10 d=1.14071 t=8158
yi xia 	以下	c=1 d=0.017249 t=8158
yi xie 	一些	c=2 d=0.0555468 t=8158
yi xue 	医学	c=1 d=4.78593e-08 t=8158
yi yang 	一样	c=12 d=1.51608 t=8158
yi yao yi bai 	一摇一摆	c=1 d=5.97806e-07 t=8158
yi ye 	一页	c=1 d=1.24349e-05 t=8158
yi yi 	意义	c=1 d=5.75852e-08 t=8158
yi yong 	一用	c=1 d=0.0480747 t=8158
yi zhi 	一只	c=1 d=4.92146e-13 t=8158
yi zhi 	一直	c=8 d=1.64129 t=8158
yi zhi 	意志	c=0 d=7.04928e-06 t=8158
yi zhi yi nei 	意志以内	c=1 d=7.08461e-05 t=8158
yi zhong 	一种	c=2 d=0.102481 t=8158
yi zi 	椅子	c=5 d=4.91608 t=8158
yin 	殷	c=0 d=3.06694e-09 t=8158
yin dao 	引导	c=4 d=2.44228 t=8158
yin hang 	银行	c=1 d=2.22744e-10 t=8158
yin hao 	引号	c=1 d=6.54215e-09 t=8158
yin liang 	音量	c=1 d=1 t=8158
yin qing 	引擎	c=1 d=0.108067 t=8158
yin ru 	引入	c=1 d=3.7363e-07 t=8158
yin shang 	殷商	c=1 d=1.19783e-06 t=8158
yin shi 	饮食	c=1 d=7.28524e-10 t=8158
yin su 	因素	c=1 d=0.0328764 t=8158
yin xiang 	印象	c=1 d=5.49185e-09 t=8158
yin xiao 	音效	c=1 d=1.67997e-15 t=8158
yin xu 	阴虚	c=1 d=1.35824e-14 t=8158
yin yang li 	阴阳历	c=1 d=2.52359e-08 t=8158
yin yue 	音乐	c=2 d=0.902165 t=8158
ying 	英	c=0 d=8.51531e-15 t=8158
ying dang 	应当	c=1 d=0.000244817 t=8158
ying gai 	应该	c=18 d=2.00186 t=8158
ying gai shi 	应该是	c=1 d=2.09701e-06 t=8158
ying gang 	硬刚	c=1 d=0.000769323 t=8158
ying ji 	应急	c=1 d=8.65611e-09 t=8158
ying jian 	硬件	c=1 d=0.000825105 t=8158
ying jian jia su 	硬件加速	c=1 d=1.06054e-15 t=8158
ying jie 	硬解	c=3 d=0.000171229 t=8158
ying le 	赢了	c=1 d=5.45221e-12 t=8158
ying liu 	应留	c=0 d=9.70941e-08 t=8158
ying pan 	硬盘	c=1 d=0.429557 t=8158
ying ping ren 	影评人	c=0 d=4.8365e-15 t=8158
ying wen 	英文	c=3 d=0.995012 t=8158
ying xiang 	影响	c=5 d=2.8256 t=8158
ying xiang 	映像	c=1 d=5.54705e-09 t=8158
ying yong 	应用	c=1 d=0.000590229 t=8158
ying yu 	英语	c=1 d=9.98777e-16 t=8158
ying zheng 	嬴政	c=1 d=4.85826e-08 t=8158
ying zi 	影子	c=0 d=4.55329e-11 t=8158
yong 	用	c=63 d=5.54163 t=8158
yong bu liao 	用不了	c=1 d=0.852144 t=8158
yong de 	用的	c=1 d=2.27321e-14 t=8158
yong hu 	用户	c=4 d=2.61053 t=8158
yong lai 	用来	c=1 d=3.20756e-06 t=8158
yong ti zi 	用梯子	c=1 d=6.33456e-12 t=8158
yong zhou 	雍州	c=1 d=8.44096e-07 t=8158
you 	又	c=5 d=0.946665 t=8158
you 	尤	c=0 d=9.98097e-09 t=8158
you 	有	c=70 d=7.3894 t=8158
you 	由	c=1 d=0.965605 t=8158
you ben shi 	有本事	c=1 d=1.29803e-10 t=8158
you cheng xu 	有程序	c=1 d=4.02935e-13 t=8158
you chi 	有吃	c=0 d=1.44174e-11 t=8158
you chi you zhu 	有吃有住	c=1 d=1.44897e-10 t=8158
you dao 	有道	c=1 d=7.08944e-13 t=8158
you dian 	有点	c=5 d=0.968116 t=8158
you du 	有毒	c=1 d=0.0165727 t=8158
you gao 	有搞	c=1 d=0.798516 t=8158
you ge 	有个	c=11 d=1.18779 t=8158
you guan 	有关	c=4 d=0.138761 t=8158
you ji ge 	有几个	c=1 d=0.00172937 t=8158
you jian 	右键	c=6 d=0.604351 t=8158
you kong 	有空	c=1 d=1.60108e-08 t=8158
you li 	有利	c=1 d=2.58791e-10 t=8158
you liang ge 	有两个	c=1 d=1.82398e-12 t=8158
you ling hun 	有灵魂	c=1 d=1.29156e-10 t=8158
you mei you 	有没有	c=9 d=1.84694 t=8158
you neng 	有能	c=1 d=2.61436e-12 t=8158
you ni 	油腻	c=2 d=1.97521 t=8158
you pin de 	有品德	c=1 d=1.31108e-10 t=8158
you qian 	有钱	c=1 d=0.767206 t=8158
you qing 	有情	c=0 d=9.98097e-09 t=8158
you ren 	有人	c=2 d=0.000515692 t=8158
you sha 	有啥	c=2 d=1.79078 t=8158
you shen me 	有什么	c=4 d=2.51449 t=8158
you shi 	又是	c=1 d=0.158817 t=8158
you shi hou 	有时候	c=10 d=5.59422 t=8158
you suo 	有所	c=1 d=0.000246044 t=8158
you wen ti 	有问题	c=6 d=4.13603e-05 t=8158
you xi 	游戏	c=1 d=0.0682212 t=8158
you xiao 	有效	c=2 d=9.95351e-05 t=8158
you xie 	有些	c=5 d=0.00267181 t=8158
you xing 	有幸	c=1 d=0.970446 t=8158
you xuan 	优选	c=4 d=1.35178 t=8158
you xue xing 	有血性	c=1 d=1.30454e-10 t=8158
you yong 	有用	c=3 d=4.05599e-11 t=8158
you yuan 	有缘	c=1 d=0.97531 t=8158
you zheng bian ma 	邮政编码	c=1 d=0.995012 t=8158
you zhong 	有种	c=1 d=0.00373503 t=8158
you zhu 	有住	c=0 d=1.44174e-11 t=8158
yu 	与	c=11 d=2.96271 t=8158
yu bei 	预备	c=1 d=7.48518e-05 t=8158
yu fa cuo wu 	语法错误	c=2 d=1.96536 t=8158
yu huan 	玉环	c=1 d=1.28158e-07 t=8158
yu jia zai 	预加载	c=1 d=4.56353e-07 t=8158
yu min xiu xi 	与民休息	c=1 d=6.96349e-08 t=8158
yu ming 	域名	c=10 d=1.80304 t=8158
yu qi 	语气	c=1 d=0.114178 t=8158
yu yan 	语言	c=3 d=0.132089 t=8158
yu yin 	语音	c=1 d=0.941765 t=8158
yu zhou 	豫州	c=1 d=8.61148e-07 t=8158
yuan 	元	c=1 d=5.58833e-08 t=8158
yuan 	员	c=0 d=3.52962e-15 t=8158
yuan 	源	c=9 d=3.44418 t=8158
yuan cheng 	远程	c=9 d=0.97531 t=8158
yuan duan 	远端	c=2 d=8.77213e-11 t=8158
yuan lai 	原来	c=1 d=3.34653e-05 t=8158
yuan li 	原理	c=9 d=1 t=8158
yuan liang 	原谅	c=1 d=0.99005 t=8158
yuan ma 	源码	c=1 d=0.995012 t=8158
yuan mou ren 	元谋人	c=1 d=1.84168e-08 t=8158
yuan sheng 	原生	c=1 d=7.47221e-14 t=8158
yuan xian 	原先	c=4 d=0.918521 t=8158
yuan yin 	原因	c=3 d=0.896188 t=8158
yue 	月	c=1 d=1.65811e-08 t=8158
yue 	约	c=1 d=0.818731 t=8158
yue du 	阅读	c=1 d=0.551563 t=8158
yue fa san zhang 	约法三章	c=1 d=6.11461e-08 t=8158
yue ke 	约课	c=1 d=1 t=8158
yue lai yue 	越来越	c=1 d=0.00631391 t=8158
yue lai yue di 	越来越低	c=1 d=1.27541e-09 t=8158
yun 	云	c=1 d=1.77037e-14 t=8158
yun 	运	c=1 d=2.82383e-07 t=8158
yun chou wei wo 	运筹帷幄	c=1 d=3.15272e-09 t=8158
yun dong 	运动	c=1 d=3.28083e-07 t=8158
